hour,dispatch,label,dispatch_json,converged,obj,load,wind,solar,status
0,0,h0d0,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h0d0_dispatch.json,1,1312457.366592819,0.8022511601474078,0.8386712503650099,0.0005330981191877778,new
0,1,h0d1,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h0d1_dispatch.json,1,1341889.115052287,0.8041699157434,0.8283710585861711,0.0004996543990422222,new
0,2,h0d2,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h0d2_dispatch.json,1,1528977.3689908998,0.8131033637287822,0.7545406254610044,0.0004837192962077778,new
0,3,h0d3,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h0d3_dispatch.json,1,1742519.4600877643,0.8181226215637688,0.6573414446422043,0.0005292172753666667,new
1,0,h1d0,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h1d0_dispatch.json,1,1947589.5006508636,0.8197868265234666,0.5563809550535944,0.0005143873759611111,new
1,1,h1d1,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h1d1_dispatch.json,1,1917960.4480212047,0.8236817396542057,0.5815465997606434,0.00048148195783,new
1,2,h1d2,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h1d2_dispatch.json,1,1761200.4563549263,0.8082315154196711,0.6224388853397543,0.0005207909389777778,new
1,3,h1d3,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h1d3_dispatch.json,1,1823074.114041012,0.761129474669971,0.4703828149755466,0.0005059457461722223,new
2,0,h2d0,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h2d0_dispatch.json,1,1999049.870490079,0.7435952591748156,0.33568886095293893,0.0005183845106522222,new
2,1,h2d1,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h2d1_dispatch.json,1,2029593.1552591228,0.7390964689767935,0.30868292650397783,0.0004838436126822222,new
2,2,h2d2,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h2d2_dispatch.json,1,1952999.242325183,0.7370901240697978,0.3426387327065978,0.00051954485609,new
2,3,h2d3,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h2d3_dispatch.json,1,1787507.8534323834,0.7388422141582512,0.4317893478944344,0.0004939478888677778,new
3,0,h3d0,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h3d0_dispatch.json,1,1603535.8781884124,0.7410396052466746,0.5318515430768889,0.0004841013169588889,new
3,1,h3d1,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h3d1_dispatch.json,1,1535132.1926987686,0.7407528474816956,0.5663162841228845,0.0004948886788333333,new
3,2,h3d2,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h3d2_dispatch.json,1,1762906.5673131533,0.7426318732519722,0.45406656045575006,0.00048676902156333333,new
3,3,h3d3,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h3d3_dispatch.json,1,1785154.1679522307,0.7416482043200078,0.4401355937224889,0.0005085441958433333,new
4,0,h4d0,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h4d0_dispatch.json,1,1655717.3486314232,0.7403767697538478,0.503310484753501,0.0005139631271111111,new
4,1,h4d1,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h4d1_dispatch.json,1,1574031.9505453196,0.7386545121319111,0.5409208308095489,0.0005110250533977779,new
4,2,h4d2,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h4d2_dispatch.json,1,1492828.5323106742,0.7364471559179745,0.57708909888112,0.0005297823907577778,new
4,3,h4d3,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h4d3_dispatch.json,1,1431292.0048123542,0.7360643152779088,0.6078543663573823,0.0005183741373222222,new
5,0,h5d0,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h5d0_dispatch.json,1,1288554.697451369,0.7338922833698821,0.6760641333992378,0.0005084326228811111,new
5,1,h5d1,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h5d1_dispatch.json,1,1253977.3773477657,0.7329441747639934,0.6915269453310178,0.0005196151341466667,new
5,2,h5d2,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h5d2_dispatch.json,1,1049947.9167055585,0.7328314170818966,0.7970607534950223,0.0005417454383222222,new
5,3,h5d3,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h5d3_dispatch.json,1,1012668.7399437806,0.7304030726805467,0.8102080180586366,0.0005656476334922223,new
6,0,h6d0,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h6d0_dispatch.json,1,877843.5694209909,0.7348649540539234,0.8918973343311488,0.0005184132106077778,new
6,1,h6d1,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h6d1_dispatch.json,1,887477.3651045696,0.7715639851842444,0.9809896747919101,0.0005237669760766666,new
6,2,h6d2,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h6d2_dispatch.json,1,725683.4166576007,0.7867124498397955,1.1045262764173422,0.0005155108273622222,new
6,3,h6d3,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h6d3_dispatch.json,1,651942.1026799841,0.7825457492278666,1.1322893507747878,0.0007274466390777779,new
7,0,h7d0,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h7d0_dispatch.json,1,754967.9953163976,0.778356432027559,1.0659185187908433,0.0026360291747344446,new
7,1,h7d1,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h7d1_dispatch.json,1,758425.0388437618,0.78521558680691,1.0761654517954833,0.009227048955406667,new
7,2,h7d2,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h7d2_dispatch.json,1,1041029.7330848256,0.8079909069464533,0.9744287023493556,0.02421398929277667,new
7,3,h7d3,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h7d3_dispatch.json,1,1765435.6966746957,0.8800353841356544,0.7629090569085578,0.049406136570518885,new
8,0,h8d0,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h8d0_dispatch.json,1,2336305.979185841,0.9745001832290366,0.6830951243756211,0.08430991512391778,new
8,1,h8d1,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h8d1_dispatch.json,1,2746462.3199066543,1.0295773243904622,0.573170344989901,0.13454926160976224,new
8,2,h8d2,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h8d2_dispatch.json,1,3227282.907985592,1.07257835572234,0.38697366708624337,0.19785472542511223,new
8,3,h8d3,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h8d3_dispatch.json,1,3210893.8884674055,1.0931120515497568,0.39360323956063553,0.2620556201838622,new
9,0,h9d0,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h9d0_dispatch.json,1,3067035.142160493,1.09911969395935,0.42207527888520996,0.33258430197971445,new
9,1,h9d1,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h9d1_dispatch.json,1,2737938.2633040966,1.0942148267073233,0.4959088067789622,0.4279187023427056,new
9,2,h9d2,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h9d2_dispatch.json,1,2396181.7799316444,1.0925522818880744,0.5882375357546666,0.5200801989654544,new
9,3,h9d3,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h9d3_dispatch.json,1,2318767.955344369,1.095467853633321,0.5913172633898067,0.572559351123,new
10,0,h10d0,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h10d0_dispatch.json,1,2414486.943084627,1.0972403362427623,0.5103918799771122,0.6164753359040889,new
10,1,h10d1,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h10d1_dispatch.json,1,2474607.059865575,1.095232899277439,0.42666959505343216,0.6741561943165578,new
10,2,h10d2,/Applications/openandes/demo/demo/deadband/results/dispatches_day96_curve110_wind115_pv115/h10d2_dispatch.json,1,2369422.878635061,1.0890130398071434,0.39221670037357,0.7611120699381455,new
