kp,ki,success,samples,t_end_s,min_hz,t_min_s,max_hz,t_max_s,final_hz,abs_mean_hz,rms_hz,error
0.05,0.0125,1,900,899.0,-0.06329666715968463,2.0,0.040812227826432235,572.0,-0.00027122119421019164,0.010675393429416933,0.013553156713414003,
0.05,0.025,1,900,899.0,-0.06329666715968463,2.0,0.03352901344755743,481.0,-0.004396228013792136,0.008461314289429703,0.010993779145693583,
0.05,0.0375,1,900,899.0,-0.06329666715968463,2.0,0.03201017444973253,481.0,-0.005477229335342226,0.007880782037495612,0.010271815584803043,
0.05,0.05,1,900,899.0,-0.06329666715968463,2.0,0.03133002036493249,481.0,-0.005733287598221892,0.007685791943396707,0.009997870106764404,
0.05,0.0625,1,900,899.0,-0.06329666715968463,2.0,0.03110490484591999,481.0,-0.0056494261533535095,0.007627168096219032,0.009900898139280438,
0.1,0.0125,1,900,899.0,-0.06329666715968463,2.0,0.040041198925000465,572.0,-0.00010456779600209742,0.010730294115117663,0.013573831432348582,
0.1,0.025,1,900,899.0,-0.06329666715968463,2.0,0.03554141014150858,481.0,-0.004268326692378199,0.008570026314183717,0.011101254732843003,
0.1,0.0375,1,900,899.0,-0.06329666715968463,2.0,0.03412978116294596,481.0,-0.005356544240890937,0.008037574200290254,0.010406731173486073,
0.1,0.05,1,900,899.0,-0.06329666715968463,2.0,0.03351379838484103,481.0,-0.005608603422098124,0.00785184742467219,0.010146838113843459,
0.1,0.0625,1,900,899.0,-0.06329666715968463,2.0,0.03333659979016357,481.0,-0.00550425978779856,0.007793169345023357,0.010059720331059906,
0.15,0.0125,1,900,899.0,-0.06329666715968463,2.0,0.040157608936337574,481.0,2.7075999469161616e-05,0.01083247789071701,0.013690087389714311,
0.15,0.025,1,900,899.0,-0.06329666715968463,2.0,0.03756736307536368,481.0,-0.004175385340463578,0.008778738079588282,0.011329559963496074,
0.15,0.0375,1,900,899.0,-0.06329666715968463,2.0,0.03627175967432006,481.0,-0.005272628358414799,0.008282467303959746,0.010680206043938047,
0.15,0.05,1,900,899.0,-0.06329666715968463,2.0,0.035733001898674566,481.0,-0.005526321042854665,0.008106797774556466,0.010451392575788138,
0.15,0.0625,1,900,899.0,-0.06329666715968463,2.0,0.03562033865222247,481.0,-0.00541173037833742,0.008057740439503558,0.01039287678852362,
0.2,0.0125,1,900,899.0,-0.06329666715968463,2.0,0.0419656862139961,481.0,0.00013597514142649203,0.011021586160683761,0.013937382124230414,
0.2,0.025,1,900,899.0,-0.06329666715968463,2.0,0.039641134456793736,481.0,-0.004098034289159447,0.009106754018623191,0.011725515212104928,
0.2,0.0375,1,900,899.0,-0.06329666715968463,2.0,0.03847010798414985,481.0,-0.005196185066858039,0.008660868125638961,0.011150348632760666,
0.2,0.05,1,900,899.0,-0.06329666715968463,2.0,0.038019411471759135,481.0,-0.005442078947461848,0.008535627396483052,0.010983269083649612,
0.2,0.0625,1,900,899.0,-0.06329666715968463,2.0,0.037983654161246605,481.0,-0.005305449899779546,0.008540897564092894,0.010989506222492507,
0.25,0.0125,1,900,899.0,-0.06329666715968463,2.0,0.04385428315172746,481.0,0.0002956641459928022,0.011355806552166553,0.01438078584711173,
0.25,0.025,1,900,899.0,-0.06329666715968463,2.0,0.0417976805340281,481.0,-0.003939340829046678,0.009634547572828016,0.01237579799038788,
0.25,0.0375,1,900,899.0,-0.06329666715968463,2.0,0.04076653575991518,481.0,-0.004999000631957795,0.0092782299141003,0.011927148687392437,
0.25,0.05,1,900,899.0,-0.06329666715968463,2.0,0.040427751338825146,481.0,-0.005183888847728468,0.009269479079948557,0.011882374460033845,
0.25,0.0625,1,900,899.0,-0.06329666715968463,2.0,0.04050701282061642,481.0,-0.004950880909684319,0.009407694439828074,0.01203009543188572,
