hour,dispatch,label,success,error,dispatch_json,freq_csv,freq_png,dispatch_seconds,tds_seconds,total_seconds,init_mode_used,retry_note,samples,t_end_s,min_hz,t_min_s,max_hz,t_max_s,final_hz,abs_mean_hz,rms_hz
0,0,h0d0,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p01_first/h0d0_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p01_first/h0d0_frequency.csv,,0.565083916997537,70.47850212495541,71.04613691702252,first,,900,899.0,-0.035216151938550766,209.0,0.02596558236329649,438.0,0.007469096390018137,0.006655016597230637,0.008353982790866356
0,1,h0d1,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p01_first/h0d1_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p01_first/h0d1_frequency.csv,,0.5661873749922961,69.49802808300592,70.06732733402168,first,,900,899.0,-0.03946081999082196,839.0,0.026234149182160493,33.0,-0.025220272984816106,0.009319280956290931,0.011530709913261673
0,2,h0d2,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p01_first/h0d2_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p01_first/h0d2_frequency.csv,,0.5801948750158772,69.99618000001647,70.57874475000426,first,,900,899.0,-0.0402813079051656,226.0,0.03125234550785283,2.0,-0.023808394903728214,0.012758718597675632,0.015101984899293583
0,3,h0d3,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p01_first/h0d3_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p01_first/h0d3_frequency.csv,,0.5995196659932844,69.66733774996828,70.26945791696198,first,,900,899.0,-0.042768439514502266,665.0,0.01294072252139955,44.0,-0.011156118426052242,0.013466763326126265,0.015703655806643332
1,0,h1d0,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p01_first/h1d0_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p01_first/h1d0_frequency.csv,,0.5089402500307187,69.33184612501645,69.8431992920232,first,,900,899.0,-0.04346433247012893,382.0,0.018333368575822462,898.0,0.015004890161520734,0.012436413226553372,0.01478685752008061
1,1,h1d1,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p01_first/h1d1_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p01_first/h1d1_frequency.csv,,0.5664157499559224,69.4270596250426,69.99607412499608,first,,900,899.0,-0.021664712506268557,23.0,0.04468400269874273,677.0,0.02263636552933601,0.016222432740474677,0.01925188830006174
1,2,h1d2,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p01_first/h1d2_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p01_first/h1d2_frequency.csv,,0.505011250032112,69.21734525001375,69.72458645800361,first,,900,899.0,-0.019370726450229636,852.0,0.03996914821201791,414.0,0.002001693296889151,0.011164285090996599,0.013681369784233434
1,3,h1d3,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p01_first/h1d3_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p01_first/h1d3_frequency.csv,,0.6478079160442576,71.50438637501793,72.15413695800817,first,,900,899.0,-0.03833778656671338,591.0,0.022689050099842234,67.0,-0.014937953563796125,0.011089978609910884,0.013459930549042518
2,0,h2d0,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p01_first/h2d0_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p01_first/h2d0_frequency.csv,,0.6244735830114223,68.89834324998083,69.52478883403819,first,,900,899.0,-0.03684917729692261,311.0,0.022028319702154242,90.0,0.0004059406480028116,0.009459966505962066,0.011624920571459408
2,1,h2d1,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p01_first/h2d1_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p01_first/h2d1_frequency.csv,,0.6070494169835001,68.64727933396352,69.25634004099993,first,,900,899.0,-0.0314271362119567,148.0,0.03256617978208087,753.0,0.007758750028625805,0.007974949877401756,0.009973194539091677
2,2,h2d2,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p01_first/h2d2_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p01_first/h2d2_frequency.csv,,0.5957907499978319,68.99808566697175,69.59577416698448,first,,900,899.0,-0.015564817260220742,81.0,0.05002668039300939,770.0,0.010261357128165116,0.010210792536951207,0.012551571059083676
2,3,h2d3,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p01_first/h2d3_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p01_first/h2d3_frequency.csv,,0.5683961249887943,70.42293424997479,70.99344091699459,first,,900,899.0,-0.021068329878646264,7.0,0.04270932577030262,813.0,0.003401848826820597,0.01742942165302256,0.01946030357808501
3,0,h3d0,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p01_first/h3d0_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p01_first/h3d0_frequency.csv,,0.5454582500387914,69.37540687498404,69.92304374999367,first,,900,899.0,-0.01736230060068511,30.0,0.05064515788842705,380.0,0.019520250366311664,0.017683911031706624,0.020288508265864567
3,1,h3d1,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p01_first/h3d1_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p01_first/h3d1_frequency.csv,,0.5433970000012778,70.16406983399065,70.70941258297535,first,,900,899.0,-0.044748916727981314,893.0,0.030816308775958312,155.0,-0.020857507171061496,0.011607792193595312,0.014179599110596186
3,2,h3d2,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p01_first/h3d2_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p01_first/h3d2_frequency.csv,,0.49742645799415186,70.00471054099035,70.50404158403398,first,,900,899.0,-0.04134135233723191,646.0,0.021218440673500538,8.0,-0.0031224295563592186,0.014061367736419299,0.016235148213016207
3,3,h3d3,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p01_first/h3d3_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p01_first/h3d3_frequency.csv,,0.6097189579741098,71.13920999999391,71.75115166697651,first,,900,899.0,-0.017998033163904026,114.0,0.045116259943633885,824.0,0.02517670066132016,0.014854715403534845,0.017572683834602167
4,0,h4d0,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p01_first/h4d0_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p01_first/h4d0_frequency.csv,,0.4812904169666581,69.61992091702996,70.10341929103015,first,,900,899.0,-0.01964108676618448,545.0,0.03472319708727856,252.0,0.014212293854787283,0.008508762196073223,0.01068843341009724
4,1,h4d1,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p01_first/h4d1_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p01_first/h4d1_frequency.csv,,0.505036500049755,69.50781941600144,70.01473724999232,first,,900,899.0,-0.025648176302515147,22.0,0.03689282848464703,297.0,0.009175947646018479,0.011006062138896893,0.0131286909541713
