hour,dispatch,label,success,error,dispatch_json,freq_csv,freq_png,dispatch_seconds,tds_seconds,total_seconds,init_mode_used,retry_note,samples,t_end_s,min_hz,t_min_s,max_hz,t_max_s,final_hz,abs_mean_hz,rms_hz
7,3,h7d3,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h7d3_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h7d3_frequency.csv,,,,,,,900,899.0,-0.0447124237142437,305.0,0.3392079473406628,1.0,-0.022625840505317,0.016931520142565555,0.034038434171097795
8,2,h8d2,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h8d2_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h8d2_frequency.csv,,,,,,,900,899.0,-0.2841263605032629,6.0,0.2934231472092596,2.0,0.0022606994376772,0.013756220888623792,0.031225957790084982
7,2,h7d2,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h7d2_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h7d2_frequency.csv,,,,,,,900,899.0,-0.0338838628946236,827.0,0.3012642933709886,2.0,0.0030469567951252,0.012780293664255574,0.02440284967818446
9,0,h9d0,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h9d0_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h9d0_frequency.csv,,,,,,,900,899.0,-0.2568740888512777,6.0,0.0317416129247272,513.0,0.0025546523440933,0.012363933379640571,0.028522661390146115
8,1,h8d1,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h8d1_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h8d1_frequency.csv,,,,,,,900,899.0,-0.0380844721996176,782.0,0.3007778255077431,2.0,-0.0072036785998319,0.011219930402347771,0.022158644095667028
14,0,h14d0,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h14d0_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h14d0_frequency.csv,,,,,,,900,899.0,-0.0320415050816413,221.0,0.2932761641810577,2.0,-0.0160432310079117,0.009754120440611328,0.020075180273118054
8,3,h8d3,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h8d3_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h8d3_frequency.csv,,,,,,,900,899.0,-0.1408176771822611,3.0,0.0390230607309538,450.0,0.0131503221283901,0.00937423097570106,0.01347446780219636
13,0,h13d0,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h13d0_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h13d0_frequency.csv,,,,,,,900,899.0,-0.0275539798148582,760.0,0.2688344231377826,2.0,-0.0104255710436507,0.009264025348141363,0.017779310378755197
8,0,h8d0,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h8d0_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h8d0_frequency.csv,,,,,,,900,899.0,-0.0302993219709124,613.0,0.2826953246915931,2.0,0.0003958688856853,0.009225459989779741,0.018235767425363043
14,2,h14d2,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h14d2_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h14d2_frequency.csv,,,,,,,900,899.0,-0.2412156711072599,2.0,0.030052906423359,615.0,0.0048777630784346,0.009077553463231393,0.01661467678050726
17,2,h17d2,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h17d2_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h17d2_frequency.csv,,,,,,,900,899.0,-0.2278511712009301,2.0,0.0324175443485463,276.0,0.0038197001214923,0.00898751033971459,0.015626005668496066
11,1,h11d1,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h11d1_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h11d1_frequency.csv,,0.5517312079900876,68.92458887503017,69.47945695900125,first,retry_after=TDS failed at t=2s with exit_code=1,900,899.0,-0.02392574607418929,66.0,0.034428289174015525,726.0,-0.001618612671494546,0.00880104392949288,0.010915170851949216
