label,hour,dispatch,early_peak_hz,early_peak_t_s,settle_time_s,final_abs_hz,abs_mean_hz,max_abs_hz,freq_csv
h7d3,7,3,0.3392079473406628,1,67,0.022625840505317,0.016931520142565555,0.3392079473406628,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h7d3_frequency.csv
h7d2,7,2,0.3012642933709886,2,152,0.0030469567951252,0.012780293664255574,0.3012642933709886,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h7d2_frequency.csv
h8d1,8,1,0.3007778255077431,2,33,0.0072036785998319,0.011219930402347771,0.3007778255077431,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h8d1_frequency.csv
h8d2,8,2,0.2934231472092596,2,143,0.0022606994376772,0.013756220888623792,0.2934231472092596,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h8d2_frequency.csv
h14d0,14,0,0.2932761641810577,2,31,0.0160432310079117,0.009754120440611328,0.2932761641810577,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h14d0_frequency.csv
h8d0,8,0,0.2826953246915931,2,23,0.0003958688856853,0.009225459989779741,0.2826953246915931,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h8d0_frequency.csv
h13d0,13,0,0.2688344231377826,2,20,0.0104255710436507,0.009264025348141363,0.2688344231377826,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h13d0_frequency.csv
h9d0,9,0,0.2568740888512777,6,73,0.0025546523440933,0.012363933379640571,0.2568740888512777,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h9d0_frequency.csv
h14d2,14,2,0.2412156711072599,2,28,0.0048777630784346,0.009077553463231393,0.2412156711072599,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h14d2_frequency.csv
h9d2,9,2,0.236981779066252,2,20,0.0018114691563431,0.008730990551560765,0.236981779066252,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h9d2_frequency.csv
h15d0,15,0,0.2292879247435086,2,67,0.0111279763342153,0.008763450141032393,0.2292879247435086,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h15d0_frequency.csv
h17d2,17,2,0.2278511712009301,2,46,0.0038197001214923,0.00898751033971459,0.2278511712009301,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h17d2_frequency.csv
