label,hour,dispatch,early_peak_hz,early_peak_t_s,settle_time_s,final_abs_hz,abs_mean_hz,max_abs_hz,freq_csv
h17d3,17,3,0.2022390913780536,2,288,0.0007443367961923,0.008538033006206808,0.2022390913780536,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h17d3_frequency.csv
h7d2,7,2,0.3012642933709886,2,152,0.0030469567951252,0.012780293664255574,0.3012642933709886,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h7d2_frequency.csv
h8d2,8,2,0.2934231472092596,2,143,0.0022606994376772,0.013756220888623792,0.2934231472092596,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h8d2_frequency.csv
h0d1,0,1,0.0548065397247743,2,138,0.0137310350624764,0.0071963913514805165,0.0548065397247743,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h0d1_frequency.csv
h8d3,8,3,0.1408176771822611,3,131,0.0131503221283901,0.00937423097570106,0.1408176771822611,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h8d3_frequency.csv
h2d3,2,3,0.1396425990411964,2,88,0.0073179268504453,0.007976702016021811,0.1396425990411964,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h2d3_frequency.csv
h19d3,19,3,0.1393005342416775,2,85,0.0064184741118089,0.007856440950258534,0.1393005342416775,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h19d3_frequency.csv
h20d2,20,2,0.0935537265496955,2,83,0.0085770733093371,0.007596126754876187,0.0935537265496955,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h20d2_frequency.csv
h9d1,9,1,0.0270240703403712,20,76,0.0006415328013886,0.008120176686592442,0.0367397647759393,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h9d1_frequency.csv
h9d0,9,0,0.2568740888512777,6,73,0.0025546523440933,0.012363933379640571,0.2568740888512777,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h9d0_frequency.csv
h7d3,7,3,0.3392079473406628,1,67,0.022625840505317,0.016931520142565555,0.3392079473406628,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h7d3_frequency.csv
h15d0,15,0,0.2292879247435086,2,67,0.0111279763342153,0.008763450141032393,0.2292879247435086,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625/h15d0_frequency.csv
