hour,dispatch,label,success,error,dispatch_json,freq_csv,freq_png,dispatch_seconds,tds_seconds,total_seconds,init_mode_used,retry_note,samples,t_end_s,min_hz,t_min_s,max_hz,t_max_s,final_hz,abs_mean_hz,rms_hz
0,0,h0d0,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h0d0_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h0d0_frequency.csv,,,,,,,900,899.0,-0.0377116095057239,209.0,0.0267037542256387,396.0,0.0091973071225126,0.006758796878103126,0.008590119417685017
0,1,h0d1,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h0d1_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h0d1_frequency.csv,,0.7667882079840638,108.77764425001806,109.55019074998563,dispatch,retry_after=TDS init failed with exit_code=1,900,899.0,-0.028192965441089513,839.0,0.05480653972477434,2.0,-0.013731035062476415,0.007196391351480565,0.00930721474894761
0,2,h0d2,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h0d2_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h0d2_frequency.csv,,,,,,,900,899.0,-0.0298583685555309,721.0,0.0312523442581591,2.0,-0.0100840190118933,0.007136778946393162,0.009245056844312758
0,3,h0d3,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h0d3_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h0d3_frequency.csv,,,,,,,900,899.0,-0.0347538787406365,665.0,0.021880118531925,562.0,0.0005877599318182,0.007326182925239776,0.009265904614467168
1,0,h1d0,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h1d0_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h1d0_frequency.csv,,,,,,,900,899.0,-0.0279899268086492,382.0,0.0269129017465541,594.0,0.0135919404924411,0.007193361666399334,0.00903222859399399
1,1,h1d1,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h1d1_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h1d1_frequency.csv,,0.7917945830267854,108.05045799998334,108.84875166602433,first,,900,899.0,-0.023804808583187675,370.0,0.0298513484969698,225.0,0.004092513983140478,0.00707461553291023,0.00886811809558196
1,2,h1d2,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h1d2_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h1d2_frequency.csv,,0.8192138749873266,108.64041420799913,109.46402245899662,dispatch,retry_after=TDS init failed with exit_code=1,900,899.0,-0.09733050679506139,2.0,0.03175465231925134,187.0,0.003445651432110175,0.007348519474254256,0.010115075522854096
1,3,h1d3,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h1d3_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h1d3_frequency.csv,,0.9272235000389628,109.13762529200176,110.06871379096992,first,,900,899.0,-0.030810514486010465,591.0,0.025485385254073734,67.0,-0.0008424735349876755,0.007591257877106209,0.0094263458277623
2,0,h2d0,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h2d0_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h2d0_frequency.csv,,0.7540865420014597,107.64979933400173,108.40782062499784,dispatch,retry_after=TDS init failed with exit_code=1,900,899.0,-0.030173197799938656,311.0,0.10446734852400219,2.0,0.004470252589867663,0.007772365241488011,0.011151512432768249
2,1,h2d1,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h2d1_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h2d1_frequency.csv,,0.8678167500183918,108.53563012502855,109.40889625001,dispatch,retry_after=TDS init failed with exit_code=1,900,899.0,-0.03006083186803954,148.0,0.03922038391711791,100.0,-0.0023096623740626043,0.007013225375699721,0.008764825782408418
