label,hour,dispatch,load_dispatch,load_first,load_second,wind_dispatch,wind_first,wind_second,solar_dispatch,solar_first,solar_second,dispatch_init,first_init,second_init
h0d1,0,1,0.7310635597667295,0.7294767234708858,0.7287142019090876,0.7203226596401452,0.7309218779640548,0.7311830336066673,7.083874301047402e-05,-0.00014639931834,-0.0003758384071918,ok,TDS init failed exit_code=1,TDS init failed exit_code=1
h1d2,1,2,0.7347559231088029,0.7502022493855132,0.7509960642850783,0.5412512046432663,0.5552710046890948,0.55610076100517,0.00010709513017970544,-0.0009790206433752,-0.0011230697966443,ok,TDS init failed exit_code=1,TDS init failed exit_code=1
h2d0,2,0,0.6759956901589287,0.6772931371616144,0.6772182775039528,0.29190335735037304,0.328953114889832,0.3301769649865577,9.024561191311568e-05,-0.0009524824360928,0.0003884347346031,ok,TDS init failed exit_code=1,ok
h2d1,2,1,0.6719058808879816,0.671147501410852,0.6728525461608356,0.2684199360904067,0.268075753613437,0.2688406539717444,3.456799759184725e-05,-0.0001909559664031,0.0001116146042114,ok,TDS init failed exit_code=1,ok
h2d2,2,2,0.670081930972545,0.6706511417435953,0.6709582993696662,0.29794672409267725,0.2808535903894507,0.2803388673330864,0.00010750391668425097,-0.0009646428502095,-0.000304858528618,ok,TDS init failed exit_code=1,TDS init failed exit_code=1
h3d3,3,3,0.6742256402909128,0.6758734717901697,0.6756722283086882,0.38272660323694113,0.358808255155961,0.3580028189988152,9.580793428441046e-05,-0.0014383385228644,1.879948259554192e-05,ok,TDS init failed exit_code=1,ok
h4d0,4,0,0.6730697906853182,0.6726658260347593,0.6714146775901954,0.4376612910900062,0.4187564498326341,0.4185459216941292,9.743693303304096e-05,-0.0003525560280403,0.0014084862192908,ok,TDS init failed exit_code=1,ok
h5d0,5,0,0.6671748030635265,0.6682673820745152,0.6671678334848146,0.587881855129764,0.5760935464861193,0.5750851914035563,9.563907207060747e-05,-0.0003558289379873,0.0007603798042793,ok,TDS init failed exit_code=1,ok
h5d3,5,3,0.6640027933459658,0.6673535428529168,0.6648325658024256,0.7045287113553435,0.6974765620428841,0.6994826693609499,0.00012631920109837093,-0.001316405160721,-0.0012664140541125,ok,TDS init failed exit_code=1,TDS init failed exit_code=1
h6d0,6,0,0.6680590491399205,0.662290749682436,0.6610539222463352,0.7755628994183957,0.7228663345635116,0.7237876958862366,0.0001219041517533059,-0.0021989276533247,-0.0001476125625941,ok,TDS init failed exit_code=1,TDS init failed exit_code=1
h6d1,6,1,0.701421804712948,0.6851714695715934,0.6860278315467405,0.8530344998190523,0.7965190218891827,0.7965147742197922,0.00011724939445836894,-0.0001469815773988,0.0012657071875855,ok,TDS init failed exit_code=1,ok
h6d2,6,2,0.7151931362179831,0.718346341677909,0.7173529154895951,0.9604576316672496,0.9112877511490572,0.9084809028658573,0.00011861382823979466,-0.0002406713158582,0.0016090223695913,ok,TDS init failed exit_code=1,ok
h21d1,21,1,0.7000360299072417,0.7172391917421372,0.7175672466585566,0.29431846324617367,0.3405484527007231,0.3420671039640832,0.00012848605142494235,-0.0009190026660993,-0.0006486976530404,ok,TDS init failed exit_code=1,TDS init failed exit_code=1
h21d2,21,2,0.6598615635377251,0.6815457555707956,0.6815018417328016,0.21070357469607653,0.2445178545747391,0.2430546139408751,3.682492868013698e-05,-0.0003502899769522,-0.0010970494012986,ok,TDS init failed exit_code=1,TDS init failed exit_code=1
h22d0,22,0,0.6450991550111039,0.6466063490928105,0.6446138040775621,0.2465573856132623,0.2319281596015693,0.234343526737573,-6.120441728826741e-05,-0.0002941408648345,0.0009708773353252,ok,TDS init failed exit_code=1,ok
h23d0,23,0,0.6431400638014154,0.6427081677136872,0.6441436627659429,0.2688344245221198,0.2659084277049818,0.2665954489380679,7.901051701102025e-05,-0.001618970571363,0.0008548866341972,ok,TDS init failed exit_code=1,ok
h23d2,23,2,0.6409465763229764,0.6421113446981419,0.6406208963609494,0.21301008407638802,0.2329476229509809,0.2327628084328538,6.512401228946977e-05,-0.0004908418375357,0.0012897382979929,ok,TDS init failed exit_code=1,ok
