time_s,freq_dev_hz,variant,variant_label
0.0,0.0,gov_step,gov target step
1.0,-0.009468954091218507,gov_step,gov target step
2.0,-0.009936940701036345,gov_step,gov target step
3.0,0.004105704993104808,gov_step,gov target step
4.0,0.0036796737991151574,gov_step,gov target step
5.0,0.0008420291528965507,gov_step,gov target step
6.0,-0.002247652747415785,gov_step,gov target step
7.0,0.006420937739424204,gov_step,gov target step
8.0,-0.00867158005393387,gov_step,gov target step
9.0,-0.021928721659647543,gov_step,gov target step
10.0,-0.014252756932982003,gov_step,gov target step
11.0,0.011223454959821133,gov_step,gov target step
12.0,0.0010460496797692898,gov_step,gov target step
13.0,-0.0020931232631271612,gov_step,gov target step
14.0,-0.006179473682574876,gov_step,gov target step
15.0,-0.002856400181163732,gov_step,gov target step
16.0,-0.015571160085132707,gov_step,gov target step
17.0,-0.008097415141425923,gov_step,gov target step
18.0,0.00548048836310322,gov_step,gov target step
19.0,0.005764045064995393,gov_step,gov target step
20.0,-0.008759036741938786,gov_step,gov target step
21.0,-0.010949222030769423,gov_step,gov target step
22.0,0.0028575474166769865,gov_step,gov target step
23.0,0.00871258869139968,gov_step,gov target step
24.0,0.001429070300322799,gov_step,gov target step
25.0,-0.001784356860141667,gov_step,gov target step
26.0,0.001879713821901774,gov_step,gov target step
27.0,-0.0019538168196797656,gov_step,gov target step
28.0,-0.007875136827937279,gov_step,gov target step
29.0,-0.004169696376037368,gov_step,gov target step
30.0,-0.0019110920641596252,gov_step,gov target step
31.0,-0.008305451284571497,gov_step,gov target step
32.0,-0.009243385033486096,gov_step,gov target step
33.0,-0.007745268521808235,gov_step,gov target step
34.0,-0.007368083510177481,gov_step,gov target step
35.0,-0.006489826877185134,gov_step,gov target step
36.0,-0.011662885697238945,gov_step,gov target step
37.0,-0.013986805320582718,gov_step,gov target step
38.0,-0.015165587569601069,gov_step,gov target step
39.0,-0.009554050659290603,gov_step,gov target step
40.0,-3.43962110793683e-06,gov_step,gov target step
41.0,0.010592224103382897,gov_step,gov target step
42.0,0.0023558670458578845,gov_step,gov target step
43.0,0.0009161626357290231,gov_step,gov target step
44.0,-0.004377183218351455,gov_step,gov target step
45.0,-0.01753638568538607,gov_step,gov target step
46.0,0.0038007148590235573,gov_step,gov target step
47.0,0.004133997279378576,gov_step,gov target step
48.0,-0.0005337755606316108,gov_step,gov target step
49.0,-0.012365178281226186,gov_step,gov target step
