time_s,freq_dev_hz
0.0,0.0
1.0,-0.7088204918971863
2.0,-2.760330049633186
3.0,-3.6380229197429825
4.0,-4.124141864495556
5.0,-4.317874233910621
6.0,-4.2507636887135725
7.0,-3.959169673370304
8.0,-3.4916844697708704
9.0,-2.8653091732805547
10.0,-2.1529869816704217
11.0,-1.6901221537259281
12.0,-1.5496925564764696
13.0,-1.5557061322286647
14.0,-1.6238383549959856
15.0,-1.6850107321596486
16.0,-1.7272033090852235
17.0,-1.7433613256257474
18.0,-1.7377768796133686
19.0,-1.7429104608777446
20.0,-1.745859158975318
21.0,-1.7425175314089558
22.0,-1.728520313906503
23.0,-1.7208582203126999
24.0,-1.7223099482666826
25.0,-1.7086926659068902
26.0,-1.6999065904344768
27.0,-1.707089524471208
28.0,-1.703104843942107
29.0,-1.6926297063149587
30.0,-1.6888905926664743
31.0,-1.6935179896688046
32.0,-1.6819607894840138
33.0,-1.6767026761260406
34.0,-1.6717300436017801
35.0,-1.6737212329568596
36.0,-1.6718598860300493
37.0,-1.6651590614697986
38.0,-1.6641965983027673
39.0,-1.6602156693097547
40.0,-1.6448690462084348
41.0,-1.6284928121834419
42.0,-1.623425204271367
43.0,-1.6208489677812765
44.0,-1.6202191014240053
45.0,-1.6220996411282829
46.0,-1.6125567829727494
47.0,-1.6129054059107006
48.0,-1.6017200350482552
49.0,-1.5987445236931408
50.0,-1.593172886861105
51.0,-1.5897267055804698
52.0,-1.5818253732195897
53.0,-1.5834236693745352
54.0,-1.5805861137717758
55.0,-1.5763213296333611
56.0,-1.5717252719001107
57.0,-1.5606987825520369
58.0,-1.5669998917039818
59.0,-1.5557438202998086
60.0,-1.5475150929321302
61.0,-1.5324358409813899
62.0,-1.5346881301397075
63.0,-1.5290350678184739
64.0,-1.5372429415458044
65.0,-1.5382124901174055
66.0,-1.5365359979101334
67.0,-1.5288195184336195
68.0,-1.5100472842765011
69.0,-1.4986155574506
70.0,-1.5132494870283897
71.0,-1.5211805413020807
72.0,-1.5050218168506269
73.0,-1.4868103673263056
74.0,-1.493812659914997
75.0,-1.4844899728911098
76.0,-1.478937987480884
77.0,-1.4824170080762733
78.0,-1.4684341831485193
79.0,-1.4737710923017677
80.0,-1.4687661164964738
81.0,-1.4574844384595198
82.0,-1.4457035186961797
83.0,-1.444330529770661
84.0,-1.4466331365653695
85.0,-1.4322326427611443
86.0,-1.4369862871469952
87.0,-1.4446384362589337
88.0,-1.443329734088048
89.0,-1.419450787719656
90.0,-1.4275679422737864
91.0,-1.4370673328854755
92.0,-1.4228888246132598
93.0,-1.3996434036134997
94.0,-1.39567658466067
95.0,-1.3999725612572211
96.0,-1.398987242610581
97.0,-1.3930062053286174
98.0,-1.3921256470974197
99.0,-1.3897287303797667
100.0,-1.3843155820482211
101.0,-1.3729730528118744
102.0,-1.3691493570285473
103.0,-1.3676087896067224
104.0,-1.3794110840369522
105.0,-1.3778239371322765
106.0,-1.3672374585022373
107.0,-1.3669177829577883
108.0,-1.3565347552076457
109.0,-1.3429498671497275
110.0,-1.3255872851414052
111.0,-1.3297236182131966
112.0,-1.3287073442819541
113.0,-1.31968697626754
114.0,-1.314007668940964
115.0,-1.3282566683053165
116.0,-1.328338603045236
117.0,-1.3114735150113832
118.0,-1.3060133214888148
119.0,-1.3197148137089454
120.0,-1.3050235792093545
121.0,-1.300034349816035
122.0,-1.2965829083568137
123.0,-1.3005287387237807
124.0,-1.2862592045828092
125.0,-1.2824948099747457
126.0,-1.283203006115976
127.0,-1.2845183022492312
128.0,-1.2774772539871093
129.0,-1.272276720151646
130.0,-1.2837767748627305
131.0,-1.291594924637438
132.0,-1.262060309264077
133.0,-1.2304613670234632
134.0,-1.2418898803423306
135.0,-1.2503218083471124
136.0,-1.2542329295496568
137.0,-1.2461559793290955
138.0,-1.2394530784236424
139.0,-1.2449178750151768
140.0,-1.242760051303724
141.0,-1.2175285227060062
142.0,-1.210092747326319
143.0,-1.216398724384895
144.0,-1.2170367889041822
145.0,-1.2115919532542474
146.0,-1.2137939221669347
147.0,-1.2194765536661212
148.0,-1.2203315068166631
149.0,-1.2069707129003748
150.0,-1.1886814526917844
151.0,-1.1870574164451742
152.0,-1.1842436223413166
153.0,-1.1852589732432528
154.0,-1.1855585333243468
155.0,-1.1977614207310538
156.0,-1.1782980926236353
157.0,-1.169785700137329
158.0,-1.1825116051960038
159.0,-1.1675211835205657
160.0,-1.1581734708448677
161.0,-1.1452140187529203
162.0,-1.148708693177103
163.0,-1.1470416063358768
164.0,-1.1544986150911685
165.0,-1.1488557067970007
166.0,-1.136683596000967
167.0,-1.1447743993456094
168.0,-1.139576153750197
169.0,-1.138301783982092
170.0,-1.1223390002506406
171.0,-1.126119090789146
172.0,-1.1277938479076988
173.0,-1.1162285388820758
174.0,-1.1043468817066437
175.0,-1.109942047110657
176.0,-1.1187093849330787
177.0,-1.1182235247805883
178.0,-1.1042888368682813
179.0,-1.0908940018461855
180.0,-1.087654061148775
181.0,-1.0856828075303038
182.0,-1.0926099245904197
183.0,-1.0924380509480214
184.0,-1.081065859822996
185.0,-1.086349499674062
186.0,-1.0826782078633834
187.0,-1.0817866707564172
188.0,-1.060228179516618
189.0,-1.0425868493632895
190.0,-1.045994572998843
191.0,-1.059057195377524
192.0,-1.0685502632278854
193.0,-1.046910943635555
194.0,-1.063788737412712
195.0,-1.0634077109722728
196.0,-1.0628933147000885
197.0,-1.0418684704844927
198.0,-1.0410339370710386
199.0,-1.0402289200745818
200.0,-1.0401631540930079
201.0,-1.029741119675076
202.0,-1.0298329971724796
203.0,-1.035991240844658
204.0,-1.02062000519751
205.0,-1.0163791115763066
206.0,-1.0010530495873526
207.0,-1.0144626792901756
208.0,-1.0279438097089266
209.0,-1.0058213520811243
210.0,-1.0014441690650977
211.0,-1.0095576478148671
212.0,-1.0025449759488714
213.0,-0.996285506668384
214.0,-0.9899643974802319
215.0,-0.9877780989510954
216.0,-0.985763275158622
217.0,-0.9839049123846699
218.0,-0.9744426404802686
219.0,-0.9789136466581616
220.0,-0.9898198914976453
221.0,-0.9766131572973014
222.0,-0.9620889533093524
223.0,-0.9651571477824339
224.0,-0.9601251350101148
225.0,-0.9508307657723836
226.0,-0.9586694226327475
227.0,-0.9578574010842655
228.0,-0.9524012747592825
229.0,-0.9531244017166096
230.0,-0.9413864661659455
231.0,-0.9343680109898123
232.0,-0.9464630162366938
233.0,-0.9317888699233889
234.0,-0.9303159065568578
235.0,-0.9260913415164618
236.0,-0.9298576483252297
237.0,-0.9367580961573929
238.0,-0.9363923172088295
239.0,-0.9507862721480853
240.0,-0.9411700982854465
241.0,-0.9150184192594368
242.0,-0.9010055215662849
243.0,-0.9272133125790116
244.0,-0.9250762467498252
245.0,-0.9139790513881874
246.0,-0.9045375966210933
247.0,-0.9028963892661146
248.0,-0.8865320312792346
249.0,-0.8899064669129797
250.0,-0.894251917918274
251.0,-0.8894468774685249
252.0,-0.8855467014105178
253.0,-0.8975197146961533
254.0,-0.8911103470552884
255.0,-0.901801580370587
256.0,-0.8740913439957843
257.0,-0.865663253575939
258.0,-0.8585806065475188
259.0,-0.8602696367411466
260.0,-0.8623840441668262
261.0,-0.8704373980416835
262.0,-0.8735885309938896
263.0,-0.8663171997124208
264.0,-0.8460969486523795
265.0,-0.8626121879875615
266.0,-0.8599716362087695
267.0,-0.8498991252776111
268.0,-0.8514682048377198
269.0,-0.8506091460038512
270.0,-0.84564238869272
271.0,-0.8466660250675306
272.0,-0.8338640958557764
273.0,-0.8396736354617529
274.0,-0.8312350344285613
275.0,-0.8295183867678402
276.0,-0.8354128800445149
277.0,-0.8401704662196408
278.0,-0.8434044404213337
279.0,-0.838907015454764
280.0,-0.8205420052967738
281.0,-0.8008289223931642
282.0,-0.8164461552138169
283.0,-0.8271595006675425
284.0,-0.8110674453620725
285.0,-0.8115546077825431
286.0,-0.8045574330835437
287.0,-0.8147431450791709
